J001524-380434,     3.85146,   -38.07633,   335.31451,   -76.69500,   1285.18,     43.60,     17.08,      0.25,    0.0133,    0.0005,        1,    -13.6426,      0.4326,     20.90,        1,     19.00,       -1,    715.75,      9.98,     16.27,      1.57,    0.0227,    0.0022,        1,    -23.0820,      2.7319,     -1.18,      0.05,      1.71,      0.18,    -12.30,      8.42,      5.73,      1.68,     18.03,      8.58,      7.60,       27,            ,     15.52,      0.04,     27.00,     14.95,      0.06,     17.00,      9.55,      0.04,     29.30
J003826-385946,     9.61204,   -38.99617,   314.98303,   -77.82650,   1637.01,     48.90,     26.06,      0.32,    0.0159,    0.0005,        1,    -83.1072,      0.3621,     18.10,       -1,     16.00,       -1,   1002.91,      9.69,     -0.34,      7.55,    0.0056,    0.0075,       -1,            ,            ,     -0.99,      0.04,      0.35,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,      0.5931,     13.04,      0.05,     20.30,     12.12,      0.04,     25.40,      9.64,      0.05,     20.60
J004441-353032,    11.17279,   -35.50911,   312.25732,   -81.49663,   2595.37,     76.80,     39.61,      0.42,    0.0153,    0.0005,        1,     12.2603,      0.2755,     15.70,       -1,     14.00,       -1,   1942.90,     10.83,     18.70,      1.49,    0.0096,    0.0008,        1,     -0.5186,      2.4555,     -0.58,      0.04,      0.63,      0.05,     18.90,      4.27,      7.76,      1.50,    -11.14,      4.53,      7.90,       28,            ,     16.85,      0.09,     11.60,     15.61,      0.11,     10.10,     10.73,      0.10,     10.40
J015254-375118,    28.22508,   -37.85522,   256.49811,   -73.21736,    632.93,     18.60,     23.91,      0.27,    0.0378,    0.0012,        1,     26.3997,      0.3234,     18.80,       -1,     17.00,       -1,    444.19,     11.40,     28.03,      1.45,    0.0631,    0.0036,        1,    -87.3741,      1.6109,     -0.71,      0.06,      1.67,      0.11,     62.00,      2.93,     69.08,      1.00,      7.08,      3.09,      4.70,       31,            ,     15.83,      0.05,     24.00,     15.58,      0.09,     11.40,     12.27,          ,      1.60
J021948-364311,    34.95025,   -36.71997,   245.62267,   -69.01113,    872.62,     29.60,      9.09,      0.28,    0.0104,    0.0005,        1,    -24.0813,      0.8855,     15.50,        1,     16.00,       -1,    723.89,     10.53,     18.80,      1.49,    0.0260,    0.0021,        1,    -23.2190,      2.2567,     -0.38,      0.05,      2.49,      0.23,      5.30,     11.71,     -0.52,      1.47,     -5.82,     11.80,      7.85,       42,            ,     14.91,      0.03,     33.80,     14.84,      0.06,     19.30,     12.54,      0.51,      2.10
J015143-391007,    27.93163,   -39.16878,   260.52969,   -72.60450,    959.89,     33.50,     39.60,      0.34,    0.0413,    0.0015,        1,    -89.9204,      0.2243,     15.70,        1,     17.00,       -1,    626.42,     13.27,     15.20,      1.63,    0.0243,    0.0027,        1,    -86.0727,      2.9243,     -0.86,      0.06,      0.59,      0.07,     -3.20,      1.95,     -2.34,      1.78,      0.86,      2.64,      3.60,       22,            ,     15.01,      0.03,     34.00,     14.68,      0.05,     21.00,     11.60,      0.18,      6.10
J015310-331025,    28.29217,   -33.17369,   241.06181,   -75.37049,   1211.39,     35.60,     16.15,      0.33,    0.0133,    0.0005,        1,     82.8141,      0.5189,     18.00,       -1,     14.00,       -1,   1070.69,     13.09,     21.62,      1.63,    0.0202,    0.0015,        1,     66.2666,      2.1451,     -0.25,      0.05,      1.51,      0.13,      1.80,      4.27,     10.05,      1.34,      8.25,      4.48,     10.00,       21,      0.6120,     14.79,      0.03,     37.00,     13.79,      0.03,     34.60,     10.66,      0.07,     15.50
J015647-361608,    29.19804,   -36.26897,   250.37955,   -73.40023,   1298.43,     38.90,     19.17,      0.33,    0.0148,    0.0005,        1,      7.1885,      0.4652,     16.60,       -1,     16.00,       -1,    821.50,      9.97,     10.25,      1.50,    0.0125,    0.0018,        1,    -52.0449,      3.9777,     -0.92,      0.05,      0.85,      0.13,      9.10,      4.39,     35.96,      2.43,     26.86,      5.02,      5.10,       27,            ,     14.76,      0.03,     35.70,     13.49,      0.03,     36.20,     10.14,      0.06,     18.50
J020012-305326,    30.05063,   -30.89069,   231.07294,   -74.52004,   3773.27,    130.00,     61.34,      0.27,    0.0163,    0.0006,        1,    -69.7181,      0.1229,     20.60,        1,     16.00,       -1,   2688.48,     12.58,     64.44,      1.70,    0.0240,    0.0006,        1,     85.9111,      0.7206,     -0.68,      0.05,      1.47,      0.06,     -1.80,      1.83,     14.80,      0.44,     16.60,      1.88,      3.70,       33,      0.6768,     13.35,      0.03,     44.10,     12.29,      0.02,     47.10,      9.80,      0.04,     26.80
J022256-344128,    35.73500,   -34.69117,   239.68153,   -69.02679,    682.70,     20.50,      7.99,      0.29,    0.0117,    0.0006,        1,    -13.2184,      1.0104,     16.90,       -1,     15.00,       -1,   1062.70,     13.54,     28.75,      1.65,    0.0271,    0.0016,        1,    -21.2332,      1.6334,      0.89,      0.05,      2.31,      0.17,     12.80,     13.54,      4.87,      1.17,     -7.93,     13.59,      5.80,       43,      1.4900,     14.92,      0.03,     33.30,     13.73,      0.03,     32.20,     10.75,      0.09,     12.60
